,tweets,id,len,date,source,likes,retweets,sentiment
0,"In his last ""Mann Ki Baat"", PM Shri Narendra Modi shared the inspiring story of Pramod Ji of Bihar who started a sm… https://t.co/Sd0eF1E02B",1371677084657934338,140,2021-03-16 04:17:56,Twitter for Android,5,2,1
1,"Virat Chandra Telukunta, a 7-year-old boy from Hyderabad became one of the youngest people to summit Kilimanjaro.… https://t.co/6ZC6Cs6EJf",1371669340609675264,138,2021-03-16 03:47:09,Twitter for Android,13,4,1
2,"""अगर आप तनाव में है, तो सारे दरवाज़े बंद हो जाते हैं, बाहर का अंदर नहीं जाता, अंदर का बाहर नहीं आता है। विचार प्र… https://t.co/yuMy7A6pwD",1371655344846299136,138,2021-03-16 02:51:32,Twitter for Android,47,11,0
3,"अब भी जिसका ख़ून न खौला, 
ख़ून नहीं वो पानी है…
जो ना आये देश के काम,
वो बेकार जवानी है।

~ चंद्र शेखर आज़ाद।… https://t.co/ybFL1cOhLL",1371645653776883713,134,2021-03-16 02:13:02,Twitter for Android,37,11,0
4,"Yoga is a wonderful way to improve concentration.

- PM Shri Narendra Modi. https://t.co/XwvqwXlCwU",1371637367098937345,99,2021-03-16 01:40:06,Twitter for Android,235,48,1
5,सकारात्मक ऊर्जा के साथ दिन की शुरुआत... #PositiveMornings https://t.co/bUTJDMPIy2,1371629300911276032,81,2021-03-16 01:08:03,Twitter for Android,51,12,0
6,"16th March 2021...
#MKBMornings https://t.co/kVx3JJK00m",1371622361443672066,55,2021-03-16 00:40:29,Twitter for Android,58,14,0
7,"PM Shri Narendra Modi praised Jagdish Kuniyal of Uttarakhand in his last ""Mann Ki Baat"" for his efforts to conserve… https://t.co/SWzj12T0g5",1371517302332592129,140,2021-03-15 17:43:01,Twitter for Android,40,14,0
8,"Dear #ExamWarriors always remember this...

#PPC2021 #MannKiBaat https://t.co/23TUfWEBwP",1371507119761940491,88,2021-03-15 17:02:33,Twitter for Android,97,20,0
9,"ये महोत्सव राष्ट्र के जागरण का महोत्सव है। 

ये महोत्सव, सुराज्य के सपने को पूरा करने का महोत्सव है। 

ये महोत्सव,… https://t.co/3IHQghKdlF",1371496425893298177,139,2021-03-15 16:20:03,Twitter for Android,45,12,0
